Name,Topics,Affiliation,CitedBy,Link,Email
Ronald Cornet,"Knowledge representation,description logic,ontology,SNOMED CT","Associate professor in Medical Informatics, Academic Medical Center - University of …",3289,https://scholar.google.com/citations?user=fEWSFjkAAAAJ&hl=en&oe=ASCII,amc.uva.nl
Stefan Schlobach,"Artificial Intelligence,Knowledge Representation,Semantic Web,Description Logic",Vrije Universiteit Amsterdam,2758,https://scholar.google.com/citations?user=MWCYB5QAAAAJ&hl=en&oe=ASCII,vu.nl
Boris Konev,"Description logic,temporal logic,automated reasoning","Professor of Computer Science, Liverpool University",1471,https://scholar.google.com/citations?user=W0VU0J8AAAAJ&hl=en&oe=ASCII,liverpool.ac.uk
Cong Wang,"Description Logic,Automated Reasoning,Knowledge Representation,Semantic Web,Artificial Intelligence","Kno.e.sis Center, Wright State University",1469,https://scholar.google.com/citations?user=pcmE2OcAAAAJ&hl=en&oe=ASCII,wright.edu
Ivan Varzinczak,"Logic,Nonmonotonic Reasoning,Description Logic,Modal Logic,Knowledge Representation and Reasoning","CRIL, Université d'Artois",715,https://scholar.google.com/citations?user=NsYc_HIAAAAJ&hl=en&oe=ASCII,cril.fr
Klemens Schnattinger,"Machine Learning,Natural Language Processing,Description Logic,Knowledge Representation",Professor of Machine Learning and Natural Language Processing,537,https://scholar.google.com/citations?user=XNTOoIwAAAAJ&hl=en&oe=ASCII,dhbw-loerrach.de
Faezeh Ensan,"Information Retrieval,Semantic Web,Description Logic,Knowledge Engineering",Ferdowsi University of Mashhad,422,https://scholar.google.com/citations?user=kg0__6QAAAAJ&hl=en&oe=ASCII,um.ac.ir
aicha mokhtari,"Artificial Intelligence,Nonmonotonic reasoning,Description logic,Possibilistic Logic",Departement d'informatique USTHB,305,https://scholar.google.com/citations?user=g1aHX8IAAAAJ&hl=en&oe=ASCII,usthb.dz
Barbara Morawska,"Automata Theory,Logic,Description Logic,Complexity Theory,Decidability",Technical University of Dresden,258,https://scholar.google.com/citations?user=ON03Ig4AAAAJ&hl=en&oe=ASCII,tu-dresden.de
Evgeny Zolin (Евгений Золин),"modal logic,description logic,knowledge representation",Lomonosov Moscow State University,244,https://scholar.google.com/citations?user=C0of6_UAAAAJ&hl=en&oe=ASCII,lpcs.math.msu.su
Marco Cerami,"logic,mathematical fuzzy logic,modal logic,description logic,fuzzy description logic",UFBA,234,https://scholar.google.com/citations?user=7GNg-zkAAAAJ&hl=en&oe=ASCII,ufba.br
Kunal Sengupta,"Semantic Web,Description Logic,Automated Reasoning,OWL,Local Closed World Reasoning",Amazon,208,https://scholar.google.com/citations?user=KQ6ESMkAAAAJ&hl=en&oe=ASCII,wright.edu
Heshan Du,"Spatial Logic,Description Logic,Geospatial Information Science,Ontologies",University of Nottingham Ningbo China,122,https://scholar.google.com/citations?user=Dj2Z4zQAAAAJ&hl=en&oe=ASCII,nottingham.edu.cn
Ana Ozaki,"Computational Learning Theory,Description Logic",Technische Universität Dresden,57,https://scholar.google.com/citations?user=OLUiO4kAAAAJ&hl=en&oe=ASCII,tu-dresden.de
Eleni Tsalapati,Description Logic,University of Loughborough,23,https://scholar.google.com/citations?user=TdzZ1psAAAAJ&hl=en&oe=ASCII,None
Wudhichart Sawangphol,"Semantic Web,Description Logic,Ontology,Automated Reasoning,Data Analysis","Lecturer at Faculty of ICT, Mahidol University",17,https://scholar.google.com/citations?user=TDyxQbgAAAAJ&hl=en&oe=ASCII,mahidol.edu
Bartosz Bednarczyk,"Logic in Computer Science,Automata Theory,Finite model theory,Description logic",Uniwersytet Wrocławski,3,https://scholar.google.com/citations?user=j7plXYcAAAAJ&hl=en&oe=ASCII,cs.uni.wroc.pl
