Name,Topics,Affiliation,citedby,Link,email
Ronald Cornet,"Knowledge representation,description logic,ontology,SNOMED CT","Associate professor in Medical Informatics, Academic Medical Center - University of …", 3272,https://scholar.google.com/citations?user=fEWSFjkAAAAJ&hl=en&oe=ASCII,Verified email at amc.uva.nl
Stefan Schlobach,"Artificial Intelligence,Knowledge Representation,Semantic Web,Description Logic",Vrije Universiteit Amsterdam, 2745,https://scholar.google.com/citations?user=MWCYB5QAAAAJ&hl=en&oe=ASCII,Verified email at vu.nl
Boris Konev,"Description logic,temporal logic,automated reasoning","Professor of Computer Science, Liverpool University", 1464,https://scholar.google.com/citations?user=W0VU0J8AAAAJ&hl=en&oe=ASCII,Verified email at liverpool.ac.uk
Cong Wang,"Description Logic,Automated Reasoning,Knowledge Representation,Semantic Web,Artificial Intelligence","Kno.e.sis Center, Wright State University", 1462,https://scholar.google.com/citations?user=pcmE2OcAAAAJ&hl=en&oe=ASCII,Verified email at wright.edu
Ivan Varzinczak,"Logic,Nonmonotonic Reasoning,Description Logic,Modal Logic,Knowledge Representation and Reasoning","CRIL, Université d'Artois", 711,https://scholar.google.com/citations?user=NsYc_HIAAAAJ&hl=en&oe=ASCII,Verified email at cril.fr
Klemens Schnattinger,"Machine Learning,Natural Language Processing,Description Logic,Knowledge Representation",Professor of Machine Learning and Natural Language Processing, 537,https://scholar.google.com/citations?user=XNTOoIwAAAAJ&hl=en&oe=ASCII,Verified email at dhbw-loerrach.de
Faezeh Ensan,"Information Retrieval,Semantic Web,Description Logic,Knowledge Engineering",Ferdowsi University of Mashhad, 417,https://scholar.google.com/citations?user=kg0__6QAAAAJ&hl=en&oe=ASCII,Verified email at um.ac.ir
aicha mokhtari,"Artificial Intelligence,Nonmonotonic reasoning,Description logic,Possibilistic Logic",Departement d'informatique USTHB, 304,https://scholar.google.com/citations?user=g1aHX8IAAAAJ&hl=en&oe=ASCII,Verified email at usthb.dz
Barbara Morawska,"Automata Theory,Logic,Description Logic,Complexity Theory,Decidability",Technical University of Dresden, 258,https://scholar.google.com/citations?user=ON03Ig4AAAAJ&hl=en&oe=ASCII,Verified email at tu-dresden.de
Evgeny Zolin (Евгений Золин),"modal logic,description logic,knowledge representation",Lomonosov Moscow State University, 244,https://scholar.google.com/citations?user=C0of6_UAAAAJ&hl=en&oe=ASCII,Verified email at lpcs.math.msu.su
